, Isl_id, Source_id, Wave_id, RA, E_RA, DEC, E_DEC, Total_flux, E_Total_flux, Peak_flux, E_Peak_flux, Xposn, E_Xposn, Yposn, E_Yposn, Maj, E_Maj, Min, E_Min, PA, E_PA, Maj_img_plane, E_Maj_img_plane, Min_img_plane, E_Min_img_plane, PA_img_plane, E_PA_img_plane, DC_Maj, E_DC_Maj, DC_Min, E_DC_Min, DC_PA, E_DC_PA, DC_Maj_img_plane, E_DC_Maj_img_plane, DC_Min_img_plane, E_DC_Min_img_plane, DC_PA_img_plane, E_DC_PA_img_plane, Isl_Total_flux, E_Isl_Total_flux, Isl_rms, Isl_mean, Resid_Isl_rms, Resid_Isl_mean, S_Code,Pbcorr_Sep(arcmin), Total_Flux,RA_SPIDX,DEC_SPIDX,sep_arcsecods,Total_flux_NVSS,E_Total_flux_NVSS,Total_flux_TGSS,E_Total_flux_TGSS,Spidx,E_Spidx,Sr.no,Spectral_index,E_Spectral_index
0,3,2,0,287.94606165890895,0.00012833258994,-2.46013286438027,7.602798025e-05,0.03444575954329,0.00418324624408,0.0247756429002,0.00189665340067,329.6682715362909,0.46197176920554,1625.0623734631015,0.27369822008779,0.00350094226366,0.00031578222341,0.00236717250066,0.00015379891107,70.5645560370952,9.67325945656626,0.003500717403,0.0003157766258,0.00236717219973,0.00015379173913,70.59045640253842,9.69915982200948,0.00187491712769,0.00031578222341,0.00101750023474,0.00015379891107,101.6618690287786,9.67325945656626,0.00187483350061,0.0003157766258,0.00101748013386,0.00015379173913,101.68776939422185,9.69915982200948,0.02933863013505,0.002163622648,0.00183263618965,-6.397385005e-05,0.00036203177297,-6.401506107e-05, S   ,39.00174712888364,0.019417771742103913,287.94615968659224,-2.4612442232626437,4.016398470299206,0.024188155308365822,0.0008589864009991288,0.17508144676685333,0.012547292746603489,-0.8764545321464539,0.035986728966236115,0.0,-0.7998476488527755,0.5931677703702071
1,4,3,0,287.93798445265605,0.00010872006702,-2.0558881819801,7.155077983e-05,0.04070387256927,0.00409870405002,0.03337042808079,0.00196290315802,358.12204389593285,0.39137115853728,3080.3514808630507,0.25758176149285,0.00373063177919,0.00029431412604,0.00194891444941,8.547482982e-05,58.94287857552253,4.86610563963399,0.00373052832574,0.00029431358424,0.00194885569594,8.547004028e-05,58.96423496458522,4.88746202869666,0.00207536731244,0.00029431412604,0.00031576342506,8.547482982e-05,57.89404710157432,4.86610563963399,0.00207531195571,0.00029431358424,0.00031575357194,8.547004028e-05,57.915403490637,4.88746202869666,0.03853743944672,0.00273900291092,0.00203221011907,-0.00011021935643,0.000519563735,-9.454366227e-05, S   ,36.985879541340886,0.024369442956745868,287.9375386587365,-2.0571431064544217,4.793967192936336,0.025047335773706436,0.0009717985522001982,0.14754348993301392,0.011258047074079514,-0.7863401174545288,0.039051033556461334,1.0,-0.7319669976137059,0.46529003328860846
2,9,7,0,287.78479223933584,4.62928088e-06,-2.09044103744543,2.51447046e-06,0.72957474630375,0.00372426409209,0.76590559375425,0.00208875959656,909.2709939518505,0.01666491617537,2956.1546549262607,0.00905207062505,0.00321124196316,1.18854806e-05,0.00176811932716,3.55299246e-06,65.29902618985801,0.2175322324666,0.00321118253324,1.188545235e-05,0.00176809514281,3.55288657e-06,65.31515394499638,0.23365998760497,0.0,1.18854806e-05,0.0,3.55299246e-06,0.0,0.2175322324666,0.0,1.188545235e-05,0.0,3.55288657e-06,0.0,0.23365998760497,0.97607598524379,0.00592927425034,0.00225900672376,0.00011851163435,0.00190184323583,3.79224048e-06, M   ,27.58096464135746,0.5515197614277728,287.78511111935387,-2.0912176081372684,3.021878183115152,0.4844570755958557,0.000865811191033572,2.427018642425537,0.01136845350265503,-0.7149935364723206,0.002222037175670266,2.0,-0.6622207481601535,0.4913339756055222
3,16,13,0,287.6790328000719,0.00012034870312,-2.06631086213562,0.0001013099638,0.05163961535008,0.00587951436494,0.03026193812694,0.00232166913737,1289.7242607897072,0.43324787724308,3043.1230408530246,0.36471460070144,0.00371811871975,0.00031959252526,0.00273557144358,0.0001873190209,55.19987553267723,12.08394612960097,0.00371809826969,0.00031959223612,0.00273552991327,0.00018731531642,55.21200427355973,12.09607487048347,0.00212714869998,0.00031959252526,0.00186400125801,0.0001873190209,24.3348410608156,12.08394612960097,0.00212714869942,0.00031959223612,0.00186396270859,0.00018731531642,24.34696980169809,12.09607487048347,0.04474652868292,0.00266346832577,0.00217714090832,-0.00011964987061,0.0011798084015,-7.598522643e-05, S   ,22.109413939991313,0.0432102670529484,287.6790466242874,-2.067483448293377,4.221603576992767,0.025590671226382256,0.0008385613327845931,0.12855857610702515,0.011149830184876919,-0.716513454914093,0.04027516022324562,3.0,-0.6899422438745769,0.2606763134957307
4,18,15,0,287.57264415559325,4.617087796e-05,-2.60619380353191,3.271514027e-05,0.07300673313294,0.00382054042903,0.05838195855324,0.00187580293,1672.7876783003687,0.16621382427344,1099.629056494773,0.11777178924325,0.00315598314556,0.00011535392961,0.00236177844446,6.670502252e-05,65.81620509399511,5.19123109256497,0.00315591771988,0.00011535100166,0.00236175397877,6.670464185e-05,65.82666397141261,5.20168996998248,0.0014333202591,0.00011535392961,0.00041838918842,6.670502252e-05,134.89584715480314,5.19123109256497,0.00143331752716,0.00011535100166,0.00041837697857,6.670464185e-05,134.90630603222064,5.20168996998248,0.07198836507228,0.00228337253907,0.00181849405635,0.00049150083214,0.00081357226009,0.00052526040236, S   ,27.10767537964107,0.05572969726665181,287.5726268317104,-2.60690526980152,2.562035550077339,0.0310306828469038,0.0007470742566511035,0.196888729929924,0.011983157135546207,-0.8199994564056396,0.02848917618393898,4.0,-0.7944811260756711,0.22640176200150036
5,21,18,0,287.5603410022377,0.00019154436276,-2.80094558763361,0.00012177222515,0.03181137503761,0.00517042562549,0.01799998633815,0.00199418925898,1717.1585426410888,0.68955474115502,398.5549273541324,0.43835725030318,0.00370202504939,0.00045116925767,0.00284559215517,0.00028658991426,91.49856212212902,19.93244865376001,0.00370200203737,0.00045114259432,0.00284544165803,0.00028658991306,91.50920111898006,19.94308765061105,0.00269922908422,0.00045116925767,0.00109883139781,0.00028658991426,121.8335572442788,19.93244865376001,0.00269922283726,0.00045114259432,0.00109876899651,0.00028658991306,121.84419624112984,19.94308765061105,0.02638665238514,0.00222110900516,0.00185861531645,8.432158938e-05,0.00077116570901,0.00011020292004, S   ,37.37612984254215,0.018830302671331803,287.56154521935747,-2.8016600975579666,5.036399134743867,0.02985554374754429,0.0007600956014357507,0.2533983886241913,0.011503436602652073,-0.9484646320343018,0.02280808985233307,5.0,-0.8351753174608357,0.8046001548968544
6,22,19,0,287.53853585184214,0.0001000919471,-2.17902784728784,7.439488835e-05,0.05764304499746,0.00516098955923,0.03325966190517,0.00201612364078,1795.230204491766,0.36032890769939,2637.433356712236,0.26782153669273,0.00372967746989,0.00025215705821,0.00276972410896,0.00015053425,63.69893722951197,9.81128657633752,0.00372966317952,0.00025215705751,0.00276971793779,0.00015053333826,63.70638569784001,9.81873504466555,0.00214240703409,0.00025215705821,0.00191927393981,0.00015053425,96.29919447256056,9.81128657633752,0.00214239414068,0.00025215705751,0.00191927386073,0.00015053333826,96.3066429408886,9.81873504466555,0.05471410362261,0.00271374290278,0.00188713974785,-0.00014172053488,0.00132196897175,-3.72065806e-05, S   ,11.9674381709655,0.05474250131363762,287.5384027511154,-2.180139349765807,4.029954202518522,0.009570430032908916,0.0007770978263579309,0.17864783108234406,0.011277562938630581,-1.299990177154541,0.04412019997835159,6.0,-1.298575993681479,0.04972800157665901
7,23,20,0,287.5028095056409,0.00024647388114,-1.92278941431181,0.00017511971044,0.01417707672443,0.00359687842401,0.01120499625129,0.00172376437284,1923.6591322904333,0.88730251139818,3559.9025071641645,0.63042263073474,0.0034748290217,0.00065834963882,0.00217032631337,0.0002711029503,58.80040370793553,16.59000011021425,0.00347482889333,0.0006583440336,0.00217028926702,0.0002711006209,58.80577802640988,16.5953744286886,0.00157148296447,0.00065834963882,0.00100339802893,0.0002711029503,55.13382349320643,16.59000011021425,0.00157148263814,0.0006583440336,0.00100338107288,0.0002711006209,55.13919781168078,16.5953744286886,0.01135663130277,0.00175342797951,0.00171028578188,0.00020923974807,0.00019181818061,0.00021120927704, S   ,20.10789452543833,0.012238971455207255,287.50356535924874,-1.923103856152652,2.945724690807205,0.00916993711143732,0.0008042575209401548,0.03546186909079552,0.011651267297565937,-0.5726622343063354,0.19396980106830597,7.0,-0.5642193989022022,0.40240958759466383
8,24,22,0,287.43383738508896,6.087657387e-05,-1.89328561908265,4.205279927e-05,0.04479207174114,0.00328767219103,0.04261612755957,0.00178461255386,2171.8127189686934,0.21915538871571,3666.135685100036,0.15138765754949,0.0031021258352,0.00016016127823,0.00201953469631,6.859510472e-05,60.42742520999326,4.77359228981214,0.00310212276823,0.00016015885448,0.00201950186064,6.859495965e-05,60.43043853624806,4.77660561606694,0.00062923842076,0.00016016127823,0.0,6.859510472e-05,139.46869548958858,4.77359228981214,0.00062922947885,0.00016015885448,0.0,6.859495965e-05,139.4717088158434,4.77660561606694,0.0537644385052,0.00423306610617,0.0018248166889,1.640698611e-05,0.00033474343945,4.95053973e-06, C   ,20.190730837726868,0.038621159356095676,287.4338267705598,-1.8941396242167114,3.0746560843688946,0.01663891226053238,0.0008318900945596397,0.1466209441423416,0.011696795001626015,-0.964255690574646,0.0424991212785244,8.0,-0.9341273080862094,0.2360938473184427
9,25,23,0,287.3870480855395,3.91130019e-05,-2.3040826337034,2.833492867e-05,0.06104618880518,0.00285779993261,0.05855894510507,0.00154808722452,2340.204111798127,0.14080676473744,2187.2804746199977,0.10200562599508,0.0031709578383,0.00010611566009,0.00195952832414,4.092294663e-05,57.43222645438919,2.73586261096779,0.00317095441656,0.00010611553239,0.00195952759815,4.092293654e-05,57.43401230799736,2.73764846457597,0.00075935280312,0.00010611566009,9.9122287e-05,4.092294663e-05,29.46350295487318,2.73586261096779,0.00075935170448,0.00010611553239,9.912228671e-05,4.092293654e-05,29.46528880848136,2.73764846457597,0.05710786485958,0.00222970891941,0.0015999203315,-0.00015182830975,0.00079487182666,-0.00011863768304, S   ,5.853022642624071,0.060299571980003366,287.38713036911713,-2.304997479984585,3.306717669002417,0.02094966545701027,0.0008028887095861137,0.17320957779884338,0.012004422955214977,-0.9364109635353088,0.03507830947637558,9.0,-0.9166268231685489,0.17447610201102248
